Team,Player Name,Points,Base Price
CSK,Vansh Bedi,0,100
CSK,Andre Siddharth,0,100
CSK,Ramakrishna Gosh,0,100
CSK,Kamlesh Nagarkoti,0,100
CSK,Jamie Overton,21,100
CSK,Gurjanpreet Singh,0,100
CSK,Nathan Ellis,43,100
DC,Ajay Mandal,0,100
DC,Donvan Ferreira,0,100
DC,Manvanth Kumar L,0,100
DC,Tripurna Vijay,0,100
DC,Madhav Tiwari,0,100
GT,Gurnoor Singh Brar,0,100
GT,Nishant Sindhu,0,100
GT,Jayant Yadav,0,100
GT,Karim Janat,0,100
GT,Manav Suthar,0,100
GT,Gerald Coetzee,0,100
GT,Kulwant Kejroliya,41,100
KKR,Luvnith Sisodia,0,100
KKR,Chetan Sakaria,0,100
LSG,Aryan Juyal,0,100
LSG,Himmat Singh,4,100
LSG,Yuvraj Chaudhary,0,100
LSG,Rajvardhan Hangargekar,0,100
LSG,Arshin Kulkarni,0,100
LSG,Akash Singh,0,100
LSG,Shamar Joseph,0,100
LSG,Prince Yadav,67,100
LSG,M. Siddharth,86,100
MI,Shrijith Krishnan,0,100
MI,Bevon John Jacobs,0,100
MI,Arjun Tendulkar,0,100
MI,Venkata Penmetsa,40,100
MI,Bosch Corbin,0,100
PK,Vishnu Vinod,0,100
PK,Harnoor Pannu,0,100
PK,Pyla Avinash,0,100
PK,Aaron Hardie,0,100
PK,Musheer Khan,0,100
PK,Vyshak Vijay Kumar,11,100
PK,Kuldeep Sen,0,100
PK,Pravin Dubey,0,100
RR,Kunal Rathore,0,100
RR,Yudhwir Singh,7,100
RR,Kwena Maphaka,0,100
RR,Ashok Sharma,0,100
RCB,Swastik Chikara,0,100
RCB,Jacob Bethell,0,100
RCB,Lungi Ngidi,0,100
RCB,Mohit Rathee,0,100
SRH,Kamindu Mendis,86,100
SRH,Zeeshan Ansari,183,100
SRH,Eshan Malinga,153,100
